Title,Release date,Developer(s),Genre
The Standing Stones,1983-01-01,Peter Schmuckal / Daniel B. Sommers,Puzzle
Archon: The Light and the Dark,1983-01-01,Free Fall Associates,Strategy
Murder on the Zinderneuf,1983-01-01,Free Fall Associates,Board
D-Bug,1983-01-01,ChildWare,Arcade
Worms?,1983-01-01,David Maynard,Strategy
One on One: Dr. J vs. Larry Bird,1983-01-01,Electronic Arts,Sports
M.U.L.E.,1983-01-01,Ozark Softscape,Simulator
Hard Hat Mack,1983-01-01,Michael Abbot / Matthew Alexander,Platformer
Pinball Construction Set,1983-01-01,BudgeCo,Simulator
Axis Assassin,1983-01-01,Electronic Arts,Action
Skyfox,1984-01-01,Ray Tobey,Flight
Mike Edwards' Realm of Impossibility,1984-01-01,BRAM,Action
The Seven Cities of Gold,1984-01-01,Ozark Softscape,Adventure
Adventure Construction Set,1984-01-01,Stuart Smith,Adventure
Music Construction Set,1984-01-01,Will Harvey / Richard Plom,Simulator
Archon II: Adept,1984-01-01,Free Fall Associates,Strategy
Hard Hat Mack,1984-01-01,Michael Abbot / Matthew Alexander,Platformer
Racing Destruction Set,1985-01-01,Rick Koenig,Racing
Alternate Reality: The City,1985-01-01,Philip Price,RPG
Movie maker,1985-01-01,Electronic Arts,Simulator
Skyfox,1985-01-01,Ray Tobey,Flight
Adventure Construction Set,1985-01-01,Stuart Smith,RPG
Golden Oldies Volume 1: Computer Software Classics,1985-01-01,The Software Toolworks,Compilation
Richard Petty's Talladega,1985-01-01,Cosmi,Racing
The Bard's Tale,1985-01-01,Interplay Productions,RPG
Mail Order Monsters,1985-01-01,Paul Reiche III / Evan Robinson / Nicky Robinson,Strategy
Lords of Conquest,1985-01-01,Eon Software,Strategy
The Seven Cities of Gold,1985-01-01,Ozark Softscape,Adventure
Pinball Construction Set,1985-01-01,BudgeCo,Simulator
Heart of Africa,1985-01-01,Ozark Softscape,Adventure 
Age of Adventure,1986-01-01,Electronic Arts,Adventure
World Tour Golf,1986-01-01,Evan Robinson / Nicky Robinson / Paul Reiche III,Simulator
Make Your Own Murder Party,1986-01-01,Trans Fiction Systems,Simulator
Robot Rascals,1986-01-01,Ozark Softscape,Board
Ultimate Wizard,1986-01-01,Progressive Peripherals and Software / Electronic Arts,RPG
Super Boulder Dash,1986-01-01,First Star Software,Puzzle
Marble Madness,1986-01-01,Mark Cerny,Action
Dan Dare: Pilot of the Future,1986-01-01,Gang of Five,Adventure
Pinball Construction Set,1986-01-01,BudgeCo,Simulator
Starflight,1986-01-01,Binary Systems,RPG
Adventure Construction Set,1986-01-01,Glen Tenney,Simulator
Touchdown Football,1986-01-01,Imagic,Sports
Timothy Leary's Mind Mirror,1986-01-01,"Futique, Inc.",Puzzle
Instant Music,1986-01-01,Electronic Arts,Simulator
PHM Pegasus,1986-01-01,Lucasfilm Games,Simulator
Arcticfox,1986-01-01,Dynamix,Simulator
Deluxe Music Construction Set,1986-01-01,Geoff Brown,Simulator
Skyfox,1986-01-01,Ray Tobey,Flight
Patton Versus Rommel,1986-01-01,Chris Crawford,Strategy
The Bard's Tale II: The Destiny Knight,1986-01-01,Interplay Productions,RPG
Amnesia,1986-01-01,Cognetics Corporation,Survival
The Bard's Tale II: The Destiny Knight,1987-01-01,Interplay Productions,RPG
Patton Versus Rommel,1987-01-01,Sculptured Software,Strategy
Earth Orbit Stations,1987-01-01,Karl Buiter,Strategy
Legacy of the Ancients,1987-01-01,"Quest Software, Inc.",RPG
Skate or Die!,1987-01-01,Electronic Arts,Action
The Seven Cities of Gold,1987-01-01,Ozark Softscape,Adventure
Skyfox II: The Cygnus Conflict,1987-01-01,Dynamix,Flight
Earl Weaver Baseball,1987-01-01,Don Daglow / Eddie Dombrower,Sports
Tomahawk,1987-01-01,Digital Integration,Flight
Chuck Yeager's Advanced Flight Trainer,1987-01-01,Lerner Research,Flight
Deathlord,1987-01-01,Electronic Arts,RPG
Amnesia,1987-01-01,Cognetics Corporation,Survival
Game Over II[a],1987-01-01,Dinamic Software,Adventure
Adventure Construction Set,1987-01-01,Stuart Smith,Simulator
Questmaster I: The Prism of Heheutotol,1987-01-01,MicroIllusions,Adventure
Powerplay Hockey,1988-01-01,Electronic Arts,Sports
The Train: Escape to Normandy[e],1988-01-01,Artech Digital Entertainment,Strategy
Aaargh![b],1988-01-01,Binary Design / Sculptured Software,Fighting
Kings of the Beach,1988-01-01,Electronic Arts,Sports
The Bard's Tale,1988-01-01,Interplay Productions,RPG
Zany Golf,1988-01-01,Sandcastle Productions,Sports
Abrams Battle Tank[c],1988-01-01,Dynamix,Simulator
Vixen,1988-01-01,Intelligent Design,Shooter
Modem Wars,1988-01-01,Ozark Softscape,Strategy
Skyfox II: The Cygnus Conflict,1988-01-01,Dynamix,Flight
Rack 'Em,1988-01-01,"Artech Digital Entertainments, Inc.",Simulator
F/A 18 Interceptor,1988-01-01,Intellisoft,Flight
Serve & Volley[d],1988-01-01,Artech D.E. Inc,Sports
Wasteland,1988-01-01,Interplay Productions,RPG
Sentinel Worlds I: Future Magic,1988-01-01,Karl Buiter,RPG
Powerdrome,1988-01-01,Michael Powell,Racing
Caveman Ughlympics,1988-01-01,Dynamix,Sports
Mars Saga,1988-01-01,Westwood Associates,RPG
The Bard's Tale III: Thief of Fate,1988-01-01,Interplay Productions,RPG
Ferrari Formula One,1988-01-01,Electronic Arts / Imagitec Design Inc.,Racing
Fusion,1988-01-01,Bullfrog Productions,Strategy
TKO,1988-01-01,Accolade,Sports
John Madden Football,1988-01-01,Bethesda Softworks,Sports
The Bard's Tale II: The Destiny Knight,1988-01-01,Interplay Productions,RPG
PHM Pegasus,1988-01-01,Lucasfilm Games,Simulator
Shadow of the Beast[g],1989-01-01,Reflections Interactive,Adventure
F-16 Combat Pilot[f],1989-01-01,Black Box,Flight
Skyfox II: The Cygnus Conflict,1989-01-01,Dynamix,Flight
Indianapolis 500: The Simulator,1989-01-01,Papyrus,Racing
Budokan: The Martial Spirit,1989-01-01,Electronic Arts,Fighting
Populous,1989-01-01,Bullfrog Productions,Strategy
Starflight 2: Trade Routes of the Cloud Nebula,1989-01-01,Binary Systems,RPG
The Hound of Shadow,1989-01-01,Eldritch Games,Adventure
The Untouchables,1989-01-01,Ocean Software,Action
Keef the Thief,1989-01-01,Naughty Dog,RPG
Fire King,1989-01-01,Strategic Studies Group,RPG
Starflight,1989-01-01,Binary Systems,RPG
Lakers versus Celtics and the NBA Playoffs,1989-01-01,Electronic Arts,Sports
Powerdrome,1989-01-01,Michael Powell,Racing
688 Attack Sub,1989-01-01,Electronic Arts,Simulator
John Madden Football,1989-01-01,Robin Antonick / John Friedman,Sports
Cartooners,1989-01-01,Electronic Arts,Simulator
SimCity,1989-01-01,Maxis,Simulator
Populous: The Final Frontier,1989-01-01,Bullfrog Productions,Strategy
John Madden Football,1989-01-01,Rob Johnson,Sports
Project Firestart,1989-01-01,Dynamix,Survival
Chuck Yeager's Advanced Flight Trainer 2.0,1989-01-01,Lerner Research,Flight
Populous: The Promised Lands,1989-01-01,Bullfrog Productions,Strategy
Panzer Battles,1989-01-01,SSG Strategic Studies,Strategy
The Archon Collection,1989-01-01,Free Fall Associates,Strategy
Caveman Ughlympics,1989-01-01,Dynamix,Sports
Low Blow,1990-01-01,Synergistic Software,Fighting
Centurion: Defender of Rome,1990-01-01,Bits of Magic,Strategy
The Immortal,1990-01-01,Sandcastle,RPG
Sword of Sodan,1990-01-01,Innerprise,Action
Budokan: The Martial Spirit,1990-01-01,Electronic Arts,Fighting
Powerdrome,1990-01-01,Michael Powell,Racing
Powermonger,1990-01-01,Bullfrog Productions,Strategy
Starflight,1990-01-01,Binary Systems,RPG
The Bard's Tale III: Thief of Fate,1990-01-01,Interplay Productions,RPG
The Bard's Tale Trilogy,1990-01-01,Interplay Productions,RPG
Fountain of Dreams,1990-01-01,Electronic Arts,Adventure
Flood,1990-01-01,Bullfrog Productions,Puzzle
Hard Nova,1990-01-01,Malibu Interactive,RPG
688 Attack Sub,1990-01-01,Electronic Arts,Simulator
Shadow of the Beast II[h],1990-01-01,Reflections Interactive,Action
Ski or Die,1990-01-01,Electronic Arts,Sports
Lakers versus Celtics and the NBA Playoffs,1990-01-01,Electronic Arts,Sports
Projectyle,1990-01-01,Eldritch the Cat,Action
Escape from Hell,1990-01-01,Electronic Arts,Survival
Battle Squadron,1990-01-01,Cope-Com,Shooter
Skate or Die 2: The Search for Double Trouble,1990-01-01,Electronic Arts,Action
Imperium,1990-01-01,The Intelligent Games Co.,Strategy
LHX Attack Chopper,1990-01-01,Electronic Arts,Flight
John Madden Football,1990-01-01,Park Place Productions,Sports
Indianapolis 500: The Simulator,1990-01-01,Papyrus,Racing
King's Bounty,1991-01-01,New World Computing,Strategy
Rampart,1991-01-01,Bitmasters,Action
John Madden Football '92,1991-01-01,Electronic Arts,Sports
The Bard's Tale Construction Set,1991-01-01,Interplay Productions,RPG
688 Attack Sub,1991-01-01,MicroProse,Simulator
PGA Tour Golf,1991-01-01,Sterling Silver Software,Sports
Battle Chess II: Chinese Chess,1991-01-01,Interplay Entertainment,Sports
The Bard's Tale III: Thief of Fate,1991-01-01,Interplay Productions,RPG
John Madden Football,1991-01-01,Park Place Productions,Sports
Earl Weaver Baseball II,1991-01-01,Don Daglow / Eddie Dombrower,Sports
Chuck Yeager's Air Combat,1991-01-01,Brent Iverson,Flight
Are We There Yet?,1991-01-01,"Manley & Associates, Inc.",Board
Centurion: Defender of Rome,1991-01-01,Bits of Magic,Strategy
Might and Magic II: Gates to Another World[j],1991-01-01,New World Computing,RPG
James Pond: Underwater Agent[i],1991-01-01,Millennium Interactive,Action
Fatal Rewind,1991-01-01,Raising Hell Software,Platformer
Birds of Prey,1991-01-01,Argonaut Games,Flight
Starflight,1991-01-01,Binary Systems,RPG
The Immortal,1991-01-01,Sandcastle,RPG
Road Rash (1991),1991-01-01,Electronic Arts,Racing
Starflight 2: Trade Routes of the Cloud Nebula,1991-01-01,MicroMagic,RPG
Marble Madness,1991-01-01,Mark Cerny,Arcade
The Faery Tale Adventure: Book I,1991-01-01,MicroIllusions,RPG
Dark Castle,1991-01-01,Silicon Beach Software,Platformer
NHL Hockey,1991-01-01,Park Place Productions,Sports
Powermonger: World War 1 Edition,1991-01-01,Bullfrog Productions,Strategy
The Magic Candle II: The Four and Forty,1991-01-01,Mindcraft Software,RPG
Lotus Turbo Challenge 2,1991-01-01,Magnetic Fields,Racing
James Pond 2: Codename: RoboCod,1991-01-01,Millennium Interactive / Vectordean,Action
Bulls vs Lakers and the NBA Playoffs,1991-01-01,Electronic Arts,Sports
F-22 Interceptor,1991-01-01,Lerner Research,Flight
Populous II: Trials of the Olympian Gods,1991-01-01,Bullfrog Productions,Strategy
Road Rash (1991),1992-01-01,Peakstar Software,Racing
Risky Woods,1992-01-01,Dinamic Software / Zeus Software,Platformer
Crüe Ball,1992-01-01,NuFX,Pinball
Rolo to the Rescue,1992-01-01,Vectordean,Action
Rings of Power,1992-01-01,Naughty Dog,RPG
Powermonger,1992-01-01,Bullfrog Productions,Strategy
Galahad,1992-01-01,Traveller's Tales,Platformer
Daughter of Serpents,1992-01-01,Eldritch Games,Adventure
Desert Strike: Return to the Gulf,1992-01-01,Electronic Arts,Action
Heroes of the 357th,1992-01-01,Midnight Software,Flight
Road Rash II,1992-01-01,Electronic Arts,Racing
Team USA Basketball,1992-01-01,Electronic Arts,Sports
Air Land Sea,1992-01-01,Electronic Arts,Strategy
Black Crypt,1992-01-01,Raven Software,RPG
John Madden Football,1992-01-01,Park Place Productions,Sports
Lotus: The Ultimate Challenge,1992-01-01,Magnetic Fields,Racing
John Madden Football '93,1992-01-01,Blue Sky Productions,Sports
Hong Kong Mahjong,1992-01-01,Nine Dragons Software,Puzzle
John Madden Football '93,1992-01-01,Electronic Arts,Sports
LHX Attack Chopper,1992-01-01,Electronic Arts,Flight
The Lost Files of Sherlock Holmes,1992-01-01,Mythos Software,Adventure
NHLPA Hockey '93,1992-01-01,Park Place Productions,Sports
Bulls vs. Blazers and the NBA Playoffs,1992-01-01,Electronic Arts,Sports
The Magic Candle III,1992-01-01,Mindcraft Software,RPG
The Aquatic Games,1992-01-01,Millennium Interactive,Sports
Car and Driver,1992-01-01,Lerner Research,Racing
PGA Tour Golf,1992-01-01,Sterling Silver Software,Sports
PGA Tour Golf II,1992-01-01,Polygon Games,Sports
Harley's Humongous Adventure[k],1993-01-01,Visual Concepts,Platformer
Syndicate: American Revolt,1993-01-01,Bullfrog Productions,Strategy
B.O.B.,1993-01-01,Foley Hi-Tech Systems,Shooter
"Ultima VII, Part Two: The Silver Seed",1993-01-01,Origin Systems,RPG
B.O.B.,1993-01-01,Gray Matter Inc.,Shooter
SimCity 2000,1993-01-01,Maxis,Simulator
Ultima Underworld II: Labyrinth of Worlds,1993-01-01,LookingGlass Technologies / Origin Systems,RPG
Mutant League Football,1993-01-01,Electronic Arts,Sports
General Chaos,1993-01-01,Game Refuge Inc.,Strategy
Tony La Russa Baseball,1993-01-01,"Beyond Software, Inc.",Sports
Virtual Pinball,1993-01-01,Bill Budge,Pinball
Jungle Strike,1993-01-01,High Score Productions / Granite Bay Software,Action
NHL Hockey 94,1993-01-01,Park Place Productions,Sports
FIFA International Soccer,1993-01-01,Creative Assembly,Sports
FIFA International Soccer,1993-01-01,Extended Play Productions,Sports
SEAL Team,1993-01-01,Electronic Arts,Shooter
NHL Hockey 94,1993-01-01,High Score Productions,Sports
Wing Commander: Privateer,1993-01-01,Origin Systems,Adventure
NHL Hockey 94,1993-01-01,EA Canada,Sports
Kasparov's Gambit,1993-01-01,Heuristic Software,Strategy
Ultrabots,1993-01-01,Novalogic,Fighting
Michael Jordan in Flight,1993-01-01,Electronic Arts,Sports
Strike Commander,1993-01-01,Origin Systems,Flight
Madden NFL '94,1993-01-01,Visual Concepts / High Score Productions,Sports
Escape from Monster Manor,1993-01-01,Studio 3DO,Action
Bill Walsh College Football,1993-01-01,Electronic Arts / Visual Concepts,Sports
Space Hulk,1993-01-01,[258],Strategy
Space Hulk,1993-01-01,Electronic Arts,Strategy
Super Baseball 2020,1993-01-01,NuFX,Sports
NBA Showdown,1993-01-01,Electronic Arts,Sports
Blades of Vengeance,1993-01-01,Beam Software,Action
F-117 Night Storm,1993-01-01,Electronic Arts,Flight
Bulls vs. Blazers and the NBA Playoffs,1993-01-01,Electronic Arts,Sports
The Labyrinth of Time,1993-01-01,Terra Nova Development,Puzzle
James Pond 3: Operation Starfish,1993-01-01,Millennium Interactive / Vectordean,Action
Peter Pan: A Story Painting Adventure,1993-01-01,Novotrade,Adventure
Syndicate,1993-01-01,Bullfrog Productions / Ocean Software,Strategy
Haunting Starring Polterguy,1993-01-01,Electronic Arts,Action
Technoclash,1993-01-01,Zono,Action
NHL 95,1994-01-01,Visual Concepts,Sports
John Madden Football,1994-01-01,High Score Productions,Sports
NBA Showdown,1994-01-01,Electronic Arts,Sports
Shockwave Assault (a.k.a. Shockwave),1994-01-01,Advanced Technology Group,Shooter
Relentless: Twinsen's Adventure,1994-01-01,Adeline Software International,Adventure
Wings of Glory,1994-01-01,Origin Systems,Flight
Road Rash (1994),1994-01-01,Monkey Do Productions,Racing
Shaq Fu,1994-01-01,Delphine Software International,Fighting
Madden NFL '95,1994-01-01,Visual Concepts,Sports
ShadowCaster,1994-01-01,Raven Software,Shooter
The Complete Ultima VII,1994-01-01,Origin Systems,RPG
Jungle Strike,1994-01-01,High Score Productions / Granite Bay Software,Action
NBA Live 95,1994-01-01,Hitmen Productions,Sports
Rugby World Cup '95,1994-01-01,Electronic Arts UK,Sports
Madden NFL '95,1994-01-01,High Score Productions,Sports
Magic Carpet,1994-01-01,Bullfrog Productions,Shooter
Wing Commander: Armada,1994-01-01,Origin Systems,Adventure
PGA Tour Golf III,1994-01-01,Hitmen Productions,Sports
Urban Strike,1994-01-01,Granite Bay Software / The Edge / Foley Hi-Tech,Action
The Lost Files of Sherlock Holmes,1994-01-01,Mythos Software,Adventure
Pacific Strike,1994-01-01,Origin Systems,Flight
Michael Jordan: Chaos in the Windy City[l],1994-01-01,Electronic Arts,Sports
Pacific Strike Speech Pack,1994-01-01,Origin Systems,Flight
PGA Tour Golf 486,1994-01-01,Hitmen Productions,Sports
Theme Park,1994-01-01,Bullfrog Productions,Simulator
Skitchin',1994-01-01,EA Canada,Action
The Need for Speed,1994-01-01,EA Canada,Racing
PGA European Tour,1994-01-01,Electronic Arts,Sports
Mario Andretti Racing,1994-01-01,Stormfront Studios,Racing
U.S. Navy Fighters,1994-01-01,Electronic Arts,Flight
Cyberia,1994-01-01,Xatrix Entertainment,Action
Noctropolis,1994-01-01,Flashpoint Productions,Adventure
NHL 95,1994-01-01,High Score Productions,Sports
NHL 95,1994-01-01,EA Sports,Sports
Twin Calibre: 688 Attack Sub + Chuck Yeager's Air Combat,1994-01-01,Electronic Arts,Flight
Mutant League Hockey,1994-01-01,Electronic Arts,Sports
NHL 95,1994-01-01,Realtime Associates,Sports
Bill Walsh College Football '95,1994-01-01,High Score Productions,Sports
Powermonger,1994-01-01,Bullfrog Productions,Strategy
FIFA Soccer 95,1994-01-01,Extended Play Productions,Sports
Ultima VIII: Pagan,1994-01-01,Origin Systems,RPG
La Russa Baseball '95,1994-01-01,"Beyond Software, Inc.",Sports
Road Rash 3,1995-01-01,Monkey Do Productions,Racing
FIFA Soccer 96,1995-01-01,Extended Play Productions,Sports
FIFA Soccer 96,1995-01-01,Probe Entertainment,Sports
NHL 96,1995-01-01,High Score Productions,Sports
PGA Tour 96,1995-01-01,Hitmen Productions,Sports
Psychic Detective,1995-01-01,Colossal Pictures / Electronic Arts,Adventure
Extreme Pinball,1995-01-01,Epic MegaGames / Digital Extremes / High Score Entertainment,Pinball
NHL 96,1995-01-01,EA Tiburon,Sports
Fade to Black,1995-01-01,Delphine Software International,Action
PGA Tour 96,1995-01-01,NuFX,Sports
NHL 96,1995-01-01,EA Canada,Sports
Road Rash (1994),1995-01-01,Monkey Do Productions,Racing
The Need for Speed,1995-01-01,EA Canada,Racing
College Football USA 96,1995-01-01,High Score Productions,Sports
Cyberia,1995-01-01,Xatrix Entertainment,Action
CyberMage: Darklight Awakening,1995-01-01,Origin Systems,Action
Crusader: No Remorse,1995-01-01,Origin Systems / Realtime Associates,Shooter
Madden NFL '96,1995-01-01,Tiburon Entertainment / High Score Productions,Sports
Toughman Contest,1995-01-01,High Score Productions / Visual Concepts,Sports
ARL 96,1995-01-01,Creative Assembly,Sports
Theme Park,1995-01-01,Bullfrog Productions,Simulator
Marine Fighters,1995-01-01,Electronic Arts,Flight
Triple Play Baseball '96,1995-01-01,Extended Play,Sports
Australian Rugby League,1995-01-01,I-Space Interactive,Sports
Magic Carpet: Hidden Worlds,1995-01-01,Bullfrog Productions,Shooter
Magic Carpet Plus,1995-01-01,Bullfrog Productions,Shooter
Magic Carpet 2: The Netherworlds,1995-01-01,Bullfrog Productions,Shooter
Space Hulk: Vengeance of the Blood Angels,1995-01-01,Key Game,Strategy
Shockwave: Operation Jumpgate,1995-01-01,Advanced Technology Group,Action
Alone in the Dark 2[m],1995-01-01,Krisalis,Survival
Bloodwings: Pumpkinhead's Revenge,1995-01-01,BAP Interactive,Action
NBA Live 96,1995-01-01,Hitmen Productions,Sports
Foes of Ali,1995-01-01,Gray Matter Inc.,Sports
BioForge,1995-01-01,Origin Systems,Action
NBA Live 96,1995-01-01,EA Canada,Sports
NBA Live 95,1995-01-01,Hitmen Productions,Sports
Theme Park,1995-01-01,Krisalis Software,Simulator
Viewpoint,1995-01-01,Visual Concepts,Shooter
Immercenary,1995-01-01,5 Miles Out,Action
Coach K College Basketball,1995-01-01,Electronic Arts,Sports
Hi-Octane,1995-01-01,Bullfrog Productions,Racing
Shaq Fu,1995-01-01,Tiertex Design Studios,Fighting
The Essential Selection: Sports,1995-01-01,"MicroProse Software, Inc.",Sports
Shockwave 2: Beyond the Gate,1995-01-01,Advanced Technology Group,Action
Shockwave Assault (a.k.a. Shockwave),1995-01-01,Advanced Technology Group,Shooter
3D Atlas,1995-01-01,Electronic Arts,Simulator
Jungle Strike,1995-01-01,High Score Productions / Granite Bay Software,Flight
Jane's Combat Simulators: Advanced Tactical Fighters,1996-01-01,Electronic Arts,Flight
Jane's Combat Simulators: AH-64D Longbow: Flash Point Korea,1996-01-01,Origin Systems,Flight
Jane's Combat Simulators: AH-64D Longbow Limited Edition,1996-01-01,Origin Systems,Flight
Jane's Combat Simulators: Advanced Tactical Fighters – Nato Fighters,1996-01-01,Electronic Arts,Flight
PGA Tour 97,1996-01-01,EA Sports,Sports
Jane's Combat Simulators: AH-64D Longbow,1996-01-01,Origin Systems,Flight
FIFA 97[p],1996-01-01,EA Canada / Extended Play Productions,Sports
Triple Play 97,1996-01-01,EA Canada,Sports
"Need for Speed: Special Edition, The",1996-01-01,EA Canada,Racing
FIFA 97[p],1996-01-01,Rage Software,Sports
FIFA 97[p],1996-01-01,XYZ Productions,Sports
Andretti Racing,1996-01-01,High Score Productions / Stormfront Studios,Racing
Alone in the Dark 2[m],1996-01-01,Krisalis,Survival
AFL Final Fever,1996-01-01,Blue Tongue Entertainment,Sports
NHL 97,1996-01-01,Ceris Software,Sports
NHL 97,1996-01-01,EA Canada,Sports
NHL 97,1996-01-01,High Score Productions,Sports
Wing Commander IV: The Price of Freedom,1996-01-01,Origin Systems,Adventure
Wing Commander IV: The Price of Freedom,1996-01-01,[407][408],Adventure
Wing Commander: Privateer 2: The Darkening,1996-01-01,Origin Systems,Adventure
Krazy Ivan[o],1996-01-01,Psygnosis,Action
PGA Tour 96,1996-01-01,Polygames,Sports
Fade to Black,1996-01-01,Delphine Software International,Action
NBA Live 96,1996-01-01,EA Canada,Sports
The Need for Speed,1996-01-01,EA Canada,Racing
Crusader: No Regret,1996-01-01,Origin Systems,Shooter
Space Hulk: Vengeance of the Blood Angels,1996-01-01,Key Game,Strategy
Loaded[n],1996-01-01,Gremlin Interactive,Shooter
Psychic Detective,1996-01-01,Colossal Pictures / Electronic Arts,Adventure
Cyberia,1996-01-01,Xatrix Entertainment,Action
NHL 97,1996-01-01,Visual Concepts,Sports
NBA Live 97,1996-01-01,NuFX/Hitmen Productions,Sports
Extreme Pinball,1996-01-01,Epic MegaGames / Digital Extremes / High Score Entertainment,Pinball
Genewars,1996-01-01,Bullfrog Productions,Strategy
Magic Carpet,1996-01-01,Bullfrog Productions,Shooter
Fire Fight,1996-01-01,Chaos Works,Fighting
Soviet Strike,1996-01-01,Electronic Arts,Action
Shockwave Assault (a.k.a. Shockwave),1996-01-01,Advanced Technology Group,Flight
Syndicate Wars,1996-01-01,Electronic Arts,Strategy
Relentless: Twinsen's Adventure,1996-01-01,Adeline Software International,Adventure
Clandestiny,1996-01-01,Trilobyte,Adventure
Madden NFL 97,1996-01-01,EA Tiburon,Sports
Die Hard Trilogy[q],1996-01-01,Probe Entertainment,Shooter
Sesame Street: Get Set to Learn,1996-01-01,Creative Wonders / Children's Television Workshop,Educational
NBA Live 97,1996-01-01,EA Canada,Sports
Road Rash (1994),1996-01-01,Buzz Puppet Productions,Racing
The Lost Files of Sherlock Holmes: The Case of the Rose Tattoo,1996-01-01,Mythos Software,Adventure
NBA Live 97,1996-01-01,EA Sports,Sports
Cricket 96,1996-01-01,Beam Software,Sports
NASCAR 98,1997-01-01,Stormfront Studios,Racing
KKnD: Krush Kill 'n' Destroy Xtreme,1997-01-01,Beam Software,Strategy
Galapagos,1997-01-01,Anark Game Studios,Puzzle
"KKnD: Krush, Kill 'n' Destroy",1997-01-01,Beam Software,Strategy
Moto Racer,1997-01-01,SK Software International,Racing
FIFA Soccer Manager,1997-01-01,EA UK,Sports
Jane's Combat Simulators: Longbow 2,1997-01-01,Origin Systems,Flight
Jane's Combat Simulators: Longbow Gold,1997-01-01,Origin Systems,Flight
Jane's Combat Simulators – 688(I) Hunter/Killer,1997-01-01,"Sonalysts, Inc.",Flight
Madden Football 64,1997-01-01,EA Tiburon,Sports
Jane's Combat Simulators: AH-64D Longbow,1997-01-01,Origin Systems,Flight
NBA Live 98,1997-01-01,Tiertex Design Studios,Sports
Jane's Combat Simulators: AH-64D Longbow Limited Edition,1997-01-01,Origin Systems,Flight
NBA Live 98,1997-01-01,EA Canada,Sports
Jane's Combat Simulators: AH-64D Longbow: Flash Point Korea,1997-01-01,Origin Systems,Flight
Jane's Combat Simulators: Advanced Tactical Fighters,1997-01-01,Electronic Arts,Flight
Madden NFL 98,1997-01-01,Tiburon Entertainment,Sports
FIFA: Road to World Cup 98,1997-01-01,XYZ Productions,Sports
FIFA: Road to World Cup 98,1997-01-01,EA Canada / Extended Play Productions,Sports
NBA Live 97,1997-01-01,Realtime Associates,Sports
Jane's Combat Simulators: Advanced Tactical Fighters – Nato Fighters,1997-01-01,Electronic Arts,Flight
FIFA: Road to World Cup 98,1997-01-01,EA Canada,Sports
FIFA: Road to World Cup 98,1997-01-01,Climax Development,Sports
NCAA Football 98,1997-01-01,EA Tiburon,Sports
Jane's Combat Simulators: Fighters Anthology,1997-01-01,Electronic Arts,Flight
Jane's Combat Simulators: U.S. Navy Fighters '97,1997-01-01,Electronic Arts,Flight
NHL 98,1997-01-01,EA Canada,Sports
NBA Live 98,1997-01-01,Realtime Associates,Sports
College Football USA 97,1997-01-01,High Score Productions,Sports
PGA Tour 98,1997-01-01,NuFX,Sports
PGA Tour Pro,1997-01-01,EA Sports,Sports
The Lost World: Jurassic Park,1997-01-01,DreamWorks Interactive,RPG
Darklight Conflict,1997-01-01,Rage Software,Action
AFL 98,1997-01-01,Electronic Arts,Sports
Sid Meier's Gettysburg!,1997-01-01,Firaxis Games,Strategy
Beasts and Bumpkins,1997-01-01,Worldweaver Ltd,Strategy
OverBlood,1997-01-01,Riverhillsoft,Survival
Theme Hospital,1997-01-01,Bullfrog Productions,Simulator
Andretti Racing,1997-01-01,High Score Productions / Stormfront Studios,Racing
Ultima Underworld: The Stygian Abyss,1997-01-01,Blue Sky Productions / Origin Systems,RPG
SCARAB,1997-01-01,Electronic Arts,Shooter
Dungeon Keeper: The Deeper Dungeons,1997-01-01,Bullfrog Productions,Simulator
Triple Play 98,1997-01-01,EA Canada,Sports
Ultima Online,1997-01-01,Origin Systems,RPG
Dungeon Keeper,1997-01-01,Bullfrog Productions,Simulator
V-Rally,1997-01-01,Infogrames Multimedia (North America only),Racing
Nuclear Strike,1997-01-01,Electronic Arts,Action
Pax Corpus,1997-01-01,Cryo Interactive Entertainment,Action
FIFA 64,1997-01-01,EA Canada,Sports
Crusader: No Remorse,1997-01-01,Origin Systems / Realtime Associates,Shooter
Syndicate Wars,1997-01-01,Electronic Arts,Strategy
Wing Commander IV: The Price of Freedom,1997-01-01,[407][408],Adventure
Need for Speed II,1997-01-01,EA Canada,Racing
Wing Commander: Prophecy,1997-01-01,Origin Systems,Adventure
Cricket 97,1997-01-01,Beam Software,Sports
FIFA 97[p],1997-01-01,Perfect Entertainment,Sports
Test Drive 4,1997-01-01,Pitbull Syndicate (Japan only),Racing
Need for Speed II,1997-01-01,EA Seattle,Racing
Need for Speed II: Special Edition,1997-01-01,EA Seattle,Racing
NASCAR 99,1998-01-01,EA Sports / Stormfront Studios,Racing
Auto Destruct,1998-01-01,Neurostone,Racing 
Skullmonkeys,1998-01-01,"The Neverhood, Inc. / DreamWorks Interactive",Platformer
Test Drive 5,1998-01-01,Pitbull Syndicate (Japan only),Racing
Jane's Combat Simulators: F-15,1998-01-01,EA Baltimore,Flight
Jane's Combat Simulators: Attack Pack,1998-01-01,Electronic Arts,Flight
Diablo,1998-01-01,Blizzard North,RPG
Theme Hospital,1998-01-01,Krisalis Software,Simulator
Tiger Woods 99 PGA Tour Golf,1998-01-01,Adrenalin Entertainment,Sports
